tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1886136716077170733',"The biggest money laundering scheme in American history (aka Bidenomics)

Check the pockets of Biden and @SenMcConnell. And BlackRock $BLK",en,Tweet,3,53,23,11,5957,2025-02-02 14:36:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886102184929996998',"RT @farzyness: DELETE INCOME TAX.

IT'S A STUPID TAX.

DELETE IT.",en,Retweet,102,22864,1622,449,588726,2025-02-02 12:19:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1885854813357015508',RT @wildbarestepf: i explicitly voted for Elon Musk to do all the shit.,en,Retweet,302,53126,3069,1211,1252109,2025-02-01 19:56:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886093571104584015',RT @elonmusk: 💯 https://t.co/WvEFYt2two,qme,Retweet,4566,233963,29284,6174,18725029,2025-02-02 11:45:23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GizAG0uW8AE86rl.jpg
'1885836321848963449',"RT @MikeBenzCyber: No, really: why was USAID backing Burisma? https://t.co/gYjF2OZkS7",en,Retweet,2343,26840,9224,693,1147310,2025-02-01 18:43:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GivWIxeW0AAfHpT.jpg,https://pbs.twimg.com/media/GivWIxeW8AA-tPT.jpg,https://pbs.twimg.com/media/GivWIxkXoAARRJx.jpg,https://pbs.twimg.com/media/GivWIxcXMAAc_KQ.jpg"
'1885866160350007559',"RT @lavern_spicer: I’m PROUD to be Black.

I’m proud to be MAGA.",en,Retweet,86,36106,2120,1395,313908,2025-02-01 20:41:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1885847871859167477',RT @MikeBenzCyber: Why was USAID funding the Wuhan Lab? https://t.co/HccUbrd2mC,en,Retweet,2170,27856,10354,811,886436,2025-02-01 19:29:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GivgpFfXIAA3opN.jpg,https://pbs.twimg.com/media/GivgpFfWcAAa0x-.jpg,https://pbs.twimg.com/media/GivgpFgWMAAaUy3.jpg,https://pbs.twimg.com/media/GivgpFhXoAAql9Q.jpg"
'1886088209618382873',We will get rid of fentanyl and RINOs quick.,en,Tweet,0,56,8,10,1319,2025-02-02 11:24:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886087743228551498',WE ARE DONE BEING TAKEN ADVANTAGE OF.🇺🇸,en,Tweet,2,161,16,17,1688,2025-02-02 11:22:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886086889624490021',"RT @RichardGrenell: What we learned in America:

The loudest voices for NOT allowing illegal immigration comes from the LEGAL immigrants.",en,Retweet,35,5413,1161,161,131617,2025-02-02 11:18:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886087020587700689',RINO @ToddYoungIN you'll lose your seat very soon,en,Tweet,0,35,10,6,1043,2025-02-02 11:19:22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'1885902541054980308',"RT @JackPosobiec: Is @ToddYoungIN opposing President Trump’s picks like he refused to back Trump in the election? 

Be a shame if the people of Indiana found out about that https://t.co/fueXuBaq9M",en,Retweet,83,9090,4906,377,361259,2025-02-01 23:06:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GiwSXb8XYAACVaG.jpg
'1886079200018280554',"RT @JackPosobiec: I know a lot of people want to strip NPR of funding 

I have a counter-proposal

We put Steve Bannon in charge of all public broadcasting",en,Retweet,121,25675,3862,1774,371760,2025-02-02 10:48:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1886058026366320657',RT @TulsiGabbard: Thank you for your bold and courageous voice @Riley_Gaines_,en,Retweet,270,73272,6135,1043,1446704,2025-02-02 09:24:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886084223028854915',"Trump first term also imposed tariffs but didn't lead to significant inflation. 

Economic conditions and monetary policies are more influential. 

Pushing energy prices down would also be deflationary. And more importantly cutting govt waste and overspending. These would more than offset the effects from tariffs on prices, and as a result cool down inflation.",en,Reply,2,20,3,1,2547,2025-02-02 11:08:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1886077142058106895',"Trump first term also imposed tariffs but didn't lead to significant inflation. 

Economic conditions and monetary policies are more influential. 

Pushing energy prices down would also be deflationary. And not to mention @DOGE eliminating the irresponsible & unreasonably huge govt spending (huge part of it is inefficiency and laundering) and budget deficit. These would more than offset the effects from tariffs on prices, and as a result cool down inflation.",en,Tweet,0,39,8,4,731,2025-02-02 10:40:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
