tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1884693789341544925',"RT @ChrisMurphyCT: It's a lie. Made up. There was no U.S. funding for condoms in Gaza. 

What he stopped is programs to keep malnourished babies alive in Gaza. Aid groups say infants will start to die next week.",en,Retweet,1141,43793,9065,3924,2261679,2025-01-29 15:03:09,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1884733641139405132',"In case you’re having a bad day at work, remember that at least you’re not Trump’s @PressSec who tweets were so bad today she earned the entire administration a federal restraining order.

Keep talking and tweeting, girl! You’re doing great! 👍🏽",en,Tweet,2221,65078,8860,5208,5196994,2025-01-29 17:41:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1884675329496649832',"RT @NewYorkStateAG: This is just more confusion and chaos.

We will be in court this afternoon.",en,Retweet,296,16004,2545,2652,1304005,2025-01-29 13:49:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1884683913395630290',"“To end any confusion, we are going to say one thing and do another” 

This is why you should not trust a word this White House says.",en,Tweet,590,38602,5523,3319,2024345,2025-01-29 14:23:55,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1884683339438739839',"The utter fiasco of the last 48 hours is just a taste of the chaos Russ Vought would unleash.

It is clear that no responsible Senator of any party should vote to confirm Vought to OMB.

☎️ Contact your Senator and tell them to vote NO on his confirmation: https://t.co/1sElGCgJ9I",en,Tweet,425,18041,4444,1860,842452,2025-01-29 14:21:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.senate.gov/senators/senators-contact.htm,,
'1884668159958843805',"This is Trump’s first major loss.
When we fight, we win.

We may not have majorities in the House and the Senate, but we DO have the power to loudly educate and mobilize against the mass looting the Trump admin is attempting against our veterans, healthcare, education, and more.",en,Tweet,1978,84595,11187,7907,4670707,2025-01-29 13:21:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1884664301752811554',FAFO.,ht,Tweet,823,42849,3743,5191,4311385,2025-01-29 13:05:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1884652414311059559',"“But they’re only going to round up immigrants committing crimes!”

No. ICE is already rounding up innocent American citizens. ⬇️",en,Tweet,1832,60594,11385,7957,3258134,2025-01-29 12:18:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1884359949108621814',"RT @kyledcheney: BREAKING: A federal judge has ordered a halt to Donald Trump's sweeping aid freeze, issuing a ""brief administrative stay"" to preserve the status quo for at least a few days while further litigation plays out.",en,Retweet,346,9454,2054,464,1046300,2025-01-28 16:56:36,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
'1884332729518444964',"RT @SymoneDSanders: Um. The portals didn’t glitch they were shutdown as a result of the memo from OMB. The reason they are coming back on is because of the uproar. To be clear that’s what happened. 

When I was in the WH we never could have gotten away with this. The reporters would have been on us like white on rice!",en,Retweet,682,19296,4463,979,1556354,2025-01-28 15:08:26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
